title,price,link
Чайник электрический Irit IR-1122 Green,301,https://sbermegamarket.ru/catalog/details/elektrochaynik-irit-ir-1122-green-100023595682/
Смартфон INOI 2 8Gb Black,990,https://sbermegamarket.ru/catalog/details/smartfon-inoi-2-8gb-black-100024215316/
Термопот STARWIND STP4186 Brown,2310,https://sbermegamarket.ru/catalog/details/termopot-starwind-stp4186-brown-100028173224/
Электрогриль Centek CT-1448 White,1465,https://sbermegamarket.ru/catalog/details/elektrovafelnica-centek-ct-1448-white-100023595930/
Карта памяти Mirex Micro SDHC 13612-MCROSD02 2GB,180,https://sbermegamarket.ru/catalog/details/karta-pamyati-sdhc-micro-mirex-13612-mcrosd02-chernyy-100023634790/
Микроволновая печь STARWIND SMW2920 White/Black,3780,https://sbermegamarket.ru/catalog/details/mikrovolnovaya-pech-starwind-smw2920-white-black-100028172456/
Карта памяти Mirex Micro SDHC 13612-MCROSD04 4GB,180,https://sbermegamarket.ru/catalog/details/karta-pamyati-sdhc-micro-mirex-13612-mcrosd04-100023590537/
Карта памяти MIREX Micro SDHC 8GB,190,https://sbermegamarket.ru/catalog/details/karta-pamyati-microsdhc-mirex-8gb-class-4-100023690493/
Карта памяти MIREX microSDHC 4GB (13612-MC10SD04),190,https://sbermegamarket.ru/catalog/details/karta-pamyati-mirex-microsdhc-4gb-13612-mc10sd04-100028345551/
Карта памяти SmartBuy Micro SDHC SB4GBSDCL10-00 4GB,200,https://sbermegamarket.ru/catalog/details/karta-pamyati-sdhc-micro-smartbuy-sb4gbsdcl10-00-100023900004/
Карта памяти MIREX Micro SDHC 4GB,200,https://sbermegamarket.ru/catalog/details/karta-pamyati-microsdhc-s-adapterom-mirex-4gb-class-4-100023690499/
Карта памяти MIREX Micro SDHC 8GB,200,https://sbermegamarket.ru/catalog/details/karta-pamyati-microsdhc-s-adapterom-mirex-8gb-class-4-100023690501/
Внешний аккумулятор Lemon Tree Powerbank 2000-2600 mah,179,https://sbermegamarket.ru/catalog/details/vneshniy-akkumulyator-lemon-tree-powerbank-2000-2600-mah-600001139142/
Внешний аккумулятор RED LINE R-2000 2000mAh Black (УТ000010370),190,https://sbermegamarket.ru/catalog/details/akb-red-line-ut000010370-100026489435/
Электромясорубка Мастерица КЭМ-03 White,55,https://sbermegamarket.ru/catalog/details/elektromyasorubka-masterica-kem-03-100027129583/
Электромясорубка SUNWIND SWG180,2390,https://sbermegamarket.ru/catalog/details/elektromyasorubka-sunwind-swg180-100028300075/
Монопод Rekam S-350L,65,https://sbermegamarket.ru/catalog/details/monopod-rekam-s-350l-100026912500/
LED телевизор HD Ready Telefunken TF-LED24S37T2,6399,https://sbermegamarket.ru/catalog/details/led-televizor-telefunken-tf-led24s37t2-100023525621/
LED телевизор HD Ready Hi 24HT101X,6990,https://sbermegamarket.ru/catalog/details/led-televizor-hi-24ht101x-100024544218/
LED телевизор Full HD OLTO 22F337,6990,https://sbermegamarket.ru/catalog/details/led-televizor-olto-22f337-100024543363/
LED Телевизор HD Ready Denn LE24DE80BH,8990,https://sbermegamarket.ru/catalog/details/led-televizor-hd-ready-denn-le24de80bh-100028025574/
Клавиатура Backlit Smart Black,885,https://sbermegamarket.ru/catalog/details/klaviatura-backlit-smart-black-600002233580/
Беспроводной ТВ адаптер AnyCast M2 plus,990,https://sbermegamarket.ru/catalog/details/besprovodnoy-tv-adapter-anycast-m2-plus-100023678426/
Mедиаплеер Rombica Smart Cast v04 SC-A0004,1910,https://sbermegamarket.ru/catalog/details/mediapleer-rombica-smart-cast-v04-sc-a0004-100023001971/
Ноутбук DIGMA EVE 10 C301 Black (ES1050EW),12990,https://sbermegamarket.ru/catalog/details/noutbuk-digma-eve-10-c301-black-es1050ew-100028074706/
Ноутбук Irbis NB68 Silver,12990,https://sbermegamarket.ru/catalog/details/noutbuk-irbis-nb68-100027394793/
Ноутбук DIGMA EVE 10 C300 (ES1040EW),12990,https://sbermegamarket.ru/catalog/details/noutbuk-digma-eve-10-c300-es1040ew-100027538493/
Ноутбук DIGMA EVE 10 C302 Black (ES1051EW),13990,https://sbermegamarket.ru/catalog/details/noutbuk-digma-eve-10-c302-black-es1051ew-100027654905/
Ноутбук Prestigio SmartBook 141C (PSB141C01BFH_BK_CIS),13999,https://sbermegamarket.ru/catalog/details/noutbuk-prestigio-smartbook-141c-psb141c01bfh_bk_cis-100023381755/
Ноутбук IRBIS NB550 Dark Blue (NB550),14790,https://sbermegamarket.ru/catalog/details/noutbuk-irbis-nb550-dark-blue-nb550-100028074796/
Ноутбук Irbis NB69 White (NB69),14990,https://sbermegamarket.ru/catalog/details/noutbuk-irbis-nb69-white-nb69-100028366829/
Ноутбук DIGMA EVE 10 A201 Black (ES1053EW),14990,https://sbermegamarket.ru/catalog/details/noutbuk-digma-eve-10-a201-black-es1053ew-100028447539/
Ноутбук Prestigio SmartBook 141C2 (PSB141C02ZFH_BB_CIS),14999,https://sbermegamarket.ru/catalog/details/noutbuk-prestigio-psb141c02zfhbbcis-100023671582/
Ноутбук Prestigio SmartBook 141C2 (PSB141S01ZFP_DG_CIS),14999,https://sbermegamarket.ru/catalog/details/noutbuk-prestigio-smartbook-141-c2-psb141s01zfp_dg_cis-100024516189/
Наушники Defender Basic 210 Black,80,https://sbermegamarket.ru/catalog/details/naushniki-defender-basic-210-black-100028117720/
Наушники Гарнизон GE-130 White/Black,54,https://sbermegamarket.ru/catalog/details/naushniki-vkladyshi-garnizon-ge-130-vnutrikanalnye-zatychki-belye-s-chernym-100025633756/
Наушники Dialog EP-03 White,54,https://sbermegamarket.ru/catalog/details/naushniki-vkladyshi-dialog-ep-03-vnutrikanalnye-zatychki-belye-100025633748/
Наушники Defender Pulse 460 White/Blue,60,https://sbermegamarket.ru/catalog/details/naushniki-defender-pulse-460-white-blue-100025573249/
Беспроводные наушники Defender FreeMotion B670 Black,139,https://sbermegamarket.ru/catalog/details/besprovodnye-naushniki-defender-freemotion-b670-chernye-100023799537/
Термопот HomeStar HS-5001,1690,https://sbermegamarket.ru/catalog/details/termopot-homestar-hs-5001-100025450975/
Микроволновая печь соло Daewoo KOR-5A37W white,2990,https://sbermegamarket.ru/catalog/details/mikrovolnovaya-pech---svch-daewoo-electronics-kor-5a-37-w-100000496133/
Мультиварка Polaris PMC 0542AD,1094,https://sbermegamarket.ru/catalog/details/multivarka-polaris-pmc-0542ad-100001318854/
Кухонный комбайн Kitfort KT-1320,2990,https://sbermegamarket.ru/catalog/details/kuhonnyy-kombayn-kitfort-kt-1320-serebristyy-chernyy-100002527451/
Мини-печь Великие Реки Воронеж-5 White,1860,https://sbermegamarket.ru/catalog/details/mini-pech-velikie-reki-voronezh-5-100027129541/
Тостер BBK TR81M Blue,1040,https://sbermegamarket.ru/catalog/details/toster-bbk-tr81m-blue-100026937847/
Тостер BBK TR81M White,990,https://sbermegamarket.ru/catalog/details/toster-bbk-tr81m-white-100026937845/
Тостер BBK TR72M Snow Mint,880,https://sbermegamarket.ru/catalog/details/toster-bbk-tr72m-snow-mint-100027796357/
Тостер BBK TR72M Orange,790,https://sbermegamarket.ru/catalog/details/toster-bbk-tr72m-or-100024266961/
Тостер NDTech BT021 Silver/Black,750,https://sbermegamarket.ru/catalog/details/toster-ndtech-bt021-100025452023/
Соковыжималка электрическая Delta DL-0234 White/Green,700,https://sbermegamarket.ru/catalog/details/sokovyzhimalka-elektricheskaya-delta-dl-0234-white-green-600001968056/
Электрическая соковыжималка для цитрусовых Sinbo SJ 3141 White,790,https://sbermegamarket.ru/catalog/details/elektricheskaya-sokovyzhimalka-dlya-citrusovyh-sinbo-sj-3141-white-100028173548/
Хлебопечка Starwind SBR2161 White/Grey,5870,https://sbermegamarket.ru/catalog/details/hlebopechka-starwind-sbr2161-white-grey-100028025986/
Хлебопечка Gorenje BM910W White,3390,https://sbermegamarket.ru/catalog/details/hlebopech-gorenje-bm910w-belyy-100023858450/
Весы кухонные HomeStar HS-3004М Red,141,https://sbermegamarket.ru/catalog/details/vesy-kuhonnye-homestar-hs-3004m-red-100023596097/
Весы кухонные Homestar HS-3004М Green,141,https://sbermegamarket.ru/catalog/details/vesy-kuhonnye-homestar-hs-3004m-100023596096/
Сэндвич-тостер STARWIND SSM2102 Black,850,https://sbermegamarket.ru/catalog/details/sendvich-toster-starwind-ssm2102-black-100028300069/
Охладитель бутылок Gastrorag JC8611 Black,4017,https://sbermegamarket.ru/catalog/details/ohladitel-butylok-gastrorag-jc8611-black-100028452899/
Морозильный ларь Kraft BD (W) 135QX,10490,https://sbermegamarket.ru/catalog/details/m-lar-kraft-bd-w-135qx-100028147632/
Газовая плита Flama 1217.1.0 W,1754,https://sbermegamarket.ru/catalog/details/gazovaya-plita-flama-121710-w-100028287878/
Электрическая плита Reex CTE- 32d Rd,3690,https://sbermegamarket.ru/catalog/details/ep-reex-cte-32d-rd-100025322154/
Кулер для воды AEL T-AEL-103 White,475,https://sbermegamarket.ru/catalog/details/kuler-dlya-vody-ael-t-ael-103-white-100026555061/
Кулер для воды Ecotronic L2-WD White,1280,https://sbermegamarket.ru/catalog/details/kuler-dlya-vody-ecotronic-l2-wd-100025732521/
Кулер для воды VATTEN OD20WFH White,1499,https://sbermegamarket.ru/catalog/details/kuler-dlya-vody-vatten-od20wfh-100024247905/
Кулер для воды HotFrost D1150 R White,1699,https://sbermegamarket.ru/catalog/details/kuler-dlya-vody-hotfrost-d1150-r-100023593576/
Портативная колонка Amadeus АМ-501 Grey,239,https://sbermegamarket.ru/catalog/details/kolonka-amadeus-am-501-svetlo-seraya-100023900138/
Портативная колонка Divoom iTour-30 Pink,300,https://sbermegamarket.ru/catalog/details/kolonka-divoom-itour-30-rozovaya-100023900153/
Портативная колонка Divoom iBase-1 White,300,https://sbermegamarket.ru/catalog/details/besprovodnaya-akustika-divoom-ibase-1-white-100023900146/
Системный блок мини Orange Pi Lite,2285,https://sbermegamarket.ru/catalog/details/sistemnyy-blok-mini-orange-pi-lite-600002278077/
Микрокомпьютер Orange Pi Zero,2300,https://sbermegamarket.ru/catalog/details/mikrokompyuter-orange-pi-zero-600001255572/
Системный блок мини Orange Pi One,3130,https://sbermegamarket.ru/catalog/details/sistemnyy-blok-mini-orange-pi-one-600002278144/
Системный блок мини Orange Pi PC,3215,https://sbermegamarket.ru/catalog/details/sistemnyy-blok-mini-orange-pi-pc-600001490917/
Микрокомпьютер Orange Pi PC2,3530,https://sbermegamarket.ru/catalog/details/mikrokompyuter-orange-pi-pc2-600001240883/
Микрокомпьютер Raspberry Pi 3 model B,4120,https://sbermegamarket.ru/catalog/details/mikrokompyuter-raspberry-pi-3-model-b-600001226105/
Микрокомпьютер Raspberry Pi 3 Model B+ 1Gb,4270,https://sbermegamarket.ru/catalog/details/mikrokompyuter-raspberry-pi-3-model-b-1gb-600001485123/
Микрокомпьютер Raspberry Pi 3 Model B 32 Gb,5437,https://sbermegamarket.ru/catalog/details/mikrokompyuter-raspberry-pi-3-model-b-32-gb-600002278065/
Микрокомпьютер Raspberry Pi 4 Model B 4Gb,7435,https://sbermegamarket.ru/catalog/details/mikrokompyuter-raspberry-pi-4-model-b-4gb-600001259361/
Платформа системного блока с ЦПУ Shuttle NS02A,9180,https://sbermegamarket.ru/catalog/details/platforma-sistemnogo-bloka-s-cpu-shuttle-ns02a-100027221919/
Микрокомпьютер Raspberry Pi 4 Model B 2Gb,9790,https://sbermegamarket.ru/catalog/details/mikrokompyuter-raspberry-pi-4-model-b-2gb-600001211780/
Монитор Philips 193V5LSB2/62,5460,https://sbermegamarket.ru/catalog/details/monitor-philips-193v5lsb2-62-100000028576/
Монитор HP V19 9TN42AA,5990,https://sbermegamarket.ru/catalog/details/monitor-hp-v19-9tn42aa-100027328269/
Монитор Acer K222HQLbid (UM.WW3EE.006),8750,https://sbermegamarket.ru/catalog/details/monitor-acer-k222hqlbid-100000019051/
Монитор Philips 223V5LSB Black (223V5LSB (00/01)),9230,https://sbermegamarket.ru/catalog/details/monitor-philips-223v5lsb-black-223v5lsb-00-01-100028165125/
Монитор Dell E1920H Black (1920-0667),6790,https://sbermegamarket.ru/catalog/details/monitor-dell-e1920h-black-1920-0667-100027136131/
Моноблок IRBIS MB2380 Black,19990,https://sbermegamarket.ru/catalog/details/monoblok-irbis-mb2380-100023623781/
Моноблок MSI Pro 16T Black (10M-020XRU),24990,https://sbermegamarket.ru/catalog/details/monoblok-msi-pro-16t-black-10m-020xru-100027469087/
Игровая мышь Defender Ultra Matt MB-470,199,https://sbermegamarket.ru/catalog/details/provodnaya-myshka-defender-ultra-matt-mb-470-100026013738/
Игровая клавиатура Defender #1 HM-430 RU Black (45430),369,https://sbermegamarket.ru/catalog/details/klaviatura-defender-hm-430-ru-100000562276/
"Клавиатура Perfeo ""ROBOTIC"" Multimedia. USB. чёрн. GAME DESIGN (PF-031)",371,https://sbermegamarket.ru/catalog/details/klaviatura-perfeo-robotic-multimedia-usb-chern-game-design-pf-031-600002309257/
Игровая клавиатура Ritmix RKB-152 Black,420,https://sbermegamarket.ru/catalog/details/klaviatura-ritmix-rkb-152-100023798879/
Игровая клавиатура Dialog Standart KS-030U Black,396,https://sbermegamarket.ru/catalog/details/klaviatura-dialog-ks-030u-black-red-100023900052/
Колонки для компьютера DEFENDER SPK 22 Чёрный 5 Вт. питание от USB,189,https://sbermegamarket.ru/catalog/details/kolonki-kompyuternye-defender-spk-22-chernyy-5-vt-pitanie-ot-usb-100023799560/
Аккумулятор для ИБП WBR GP645 White (GP645WBR),492,https://sbermegamarket.ru/catalog/details/akkumulyator-dlya-ibp-wbr-gp645-white-gp645wbr-600002921636/
Аккумулятор DELTA DT 4003,500,https://sbermegamarket.ru/catalog/details/akkumulyator-delta-dt-4003-600001567339/
USB-флешка Dato DB8001 32GB White (DB8001W-32G),390,https://sbermegamarket.ru/catalog/details/fleshka-dato-db8001-32gb-usb20-belyy-db8001w-32g-100026612370/
USB-флешка Dato DS7012 32GB Black (DS7012K-32G),390,https://sbermegamarket.ru/catalog/details/fleshka-dato-ds7012-32gb-usb20-chernyy-ds7012k-32g-100026612383/
Флеш диск Flexis 16 Gb RB-108 USB 2.0,195,https://sbermegamarket.ru/catalog/details/flesh-disk-flexis-16-gb-rb-108-usb-20-100028026540/
Внутренний SSD накопитель AEGO 48GB,972,https://sbermegamarket.ru/catalog/details/vnutrenniy-ssd-nakopitel-aego-48gb-600001687873/
Внутренний SSD накопитель FATTYDOVE 48GB,975,https://sbermegamarket.ru/catalog/details/vnutrenniy-ssd-nakopitel-fattydove-48gb-600001687868/
Внешний жесткий диск 3Q Iris 500GB Red (3QHDD-T292M-500),2750,https://sbermegamarket.ru/catalog/details/vneshniy-zhestkiy-disk-3q-iris-500gb-red-3qhdd-t292m-500-600003322091/
Внешний жесткий диск Seagate Expansion STEA500400 Черный,3490,https://sbermegamarket.ru/catalog/details/vneshniy-zhestkiy-disk-seagate-expansion-500gb-stea500400--100000031578/
Внутренний жесткий диск HGST Travelstar Z7K320 320GB (HTS723232A7A364),1943,https://sbermegamarket.ru/catalog/details/vnutrenniy-hdd-disk-hgst-travelstar-z7k320-hts723232a7a364-100024702236/
Внутренний HDD диск WD 500Gb WD5000AZRX,2580,https://sbermegamarket.ru/catalog/details/vnutrenniy-hdd-disk-wd-500gb-wd5000azrx-100027359253/
Внутренний жесткий диск Toshiba DT01ACA050 500GB (DT01ACA050),2580,https://sbermegamarket.ru/catalog/details/vnutrenniy-hdd-disk-toshiba-dt-dt01aca050-nerzhaveyushaya-stal-chernyy-100000566503/
Внутренний жесткий диск Western Digital Blue 500GB (WD5000AZLX),2690,https://sbermegamarket.ru/catalog/details/vnutrenniy-hdd-disk-wd-wd5000azlx-serebristyy-100000575895/
Внутренний жесткий диск Western Digital Caviar Green 500GB (WD5000AADS),2690,https://sbermegamarket.ru/catalog/details/vnutrenniy-hdd-disk-wd-caviar-green-wd5000aads-100024701878/
Процессор Intel Pentium 4 519J LGA 775 OEM,500,https://sbermegamarket.ru/catalog/details/processor-intel-pentium-4-519j-lga-775-oem-600003394949/
Процессор Intel Celeron D 326 LGA 775 OEM,550,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-d-326-lga-775-oem-600003394959/
Процессор Intel Celeron D 331 LGA 775 OEM,550,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-d-331-lga-775-oem-600003394958/
Процессор Intel Celeron 420 LGA 775 OEM,600,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-420-lga-775-oem-600003394961/
Процессор Intel Celeron D 336 LGA 775 OEM,600,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-d-336-lga-775-oem-600003394957/
Процессор Intel Celeron D 346 LGA 775 OEM,600,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-d-346-lga-775-oem-600003394956/
Процессор Intel Celeron D 347 LGA 775 OEM,650,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-d-347-lga-775-oem-600003394955/
Процессор Intel Pentium E2160 LGA 775 OEM,950,https://sbermegamarket.ru/catalog/details/processor-intel-pentium-e2160-lga-775-oem-600003394947/
Процессор Intel Pentium E2140 LGA 775 OEM,999,https://sbermegamarket.ru/catalog/details/processor-intel-pentium-e2140-lga-775-oem-600003394948/
Процессор Intel Celeron E1400 OEM,999,https://sbermegamarket.ru/catalog/details/processor-intel-celeron-e1400-hh80557pg041d-100024702400/
Материнская плата ASUS P5Q-VM DO,2999,https://sbermegamarket.ru/catalog/details/materinskaya-plata-asus-p5q-vm-do-600003394869/
Видеокарта MSI nVidia GeForce 210 (N210-TC1GD3H/LP),2473,https://sbermegamarket.ru/catalog/details/videokarta-msi-geforce-200-series-210-n210-tc1gd3h-lp-100000571759/
Видеокарта Sinotex Ninja GeForce GT 210 (NK21NP013F),2670,https://sbermegamarket.ru/catalog/details/videokarta-sinotex-ninja-geforce-gt-210-nk21np013f-100028345472/
Блок питания компьютера ExeGate AAA350 EX259589RUS,850,https://sbermegamarket.ru/catalog/details/blok-pitaniya-kompyutera-exegate-aaa350-ex259589rus-100023901477/
Блок питания Accord ACC-P300W,860,https://sbermegamarket.ru/catalog/details/blok-pitaniya-accord-acc-p300w-100028097278/
Блок питания компьютера ExeGate AB350 EX219182RUS,869,https://sbermegamarket.ru/catalog/details/blok-pitaniya-kompyutera-exegate-ab350-ex219182rus-100023901478/
Блок питания компьютера ExeGate AAA400 EX259590RUS,890,https://sbermegamarket.ru/catalog/details/blok-pitaniya-kompyutera-exegate-aaa400-ex259590rus-100023901480/
Блок питания Accord ACC-350W-12,1030,https://sbermegamarket.ru/catalog/details/blok-pitaniya-accord-acc-350w-12-100028367023/
Блок питания компьютера LinkWorld LW2-350W(LPE),1010,https://sbermegamarket.ru/catalog/details/blok-pitaniya-kompyutera-linkworld-lw2-350w-lpe-100024695977/
Блок питания компьютера ExeGate AAA450 EX259591RUS,950,https://sbermegamarket.ru/catalog/details/blok-pitaniya-kompyutera-exegate-aaa450-ex259591rus-100023901482/
Блок питания компьютера ExeGate UN350 EX244552RUS,950,https://sbermegamarket.ru/catalog/details/blok-pitaniya-kompyutera-exegate-un350-ex244552rus-100023901479/
Оперативная память PATRIOT Signature PSD32G160081,990,https://sbermegamarket.ru/catalog/details/operativnaya-pamyat-patriot-signature-psd32g160081-zelenyy-100000577095/
Оперативная память Crucial Crucial CT25664BD160BJ,920,https://sbermegamarket.ru/catalog/details/operativnaya-pamyat-crucial-crucial-ct25664bd160bj-100023921388/
Оперативная память AMD R532G1601U1S-UGO,990,https://sbermegamarket.ru/catalog/details/operativnaya-pamyat-amd-r532g1601u1s-ugo-100023859591/
Корпус компьютерный Raspberry CaseRaspPI3 PI2 Black,395,https://sbermegamarket.ru/catalog/details/korpus-kompyuternyy-raspberry-caserasppi3-pi2-black-600001482193/
Корпус компьютерный Raspberry Pi 4 model B Black,530,https://sbermegamarket.ru/catalog/details/korpus-kompyuternyy-raspberry-pi-4-model-b-black-600001485781/
Корпус компьютерный Raspberry CaseRaspFR для Raspberry Pi 3 model B,565,https://sbermegamarket.ru/catalog/details/korpus-kompyuternyy-raspberry-caseraspfr-dlya-raspberry-pi-3-model-b-600001482134/
Кулер для процессора DEEPCOOL Theta 115 (DP-ICAS-T115),360,https://sbermegamarket.ru/catalog/details/kuler-dlya-processora-deepcool-theta-115-dp-icas-t115-100000575232/
Кулер для процессора ID-COOLING DK-15,230,https://sbermegamarket.ru/catalog/details/kuler-dlya-processora-id-cooling-dk-15-100028535776/
Процессор Intel Xeon E5-1410 OEM,3779,https://sbermegamarket.ru/catalog/details/processor-intel-xeon-e5-1410-cm8062001257301-100024702481/
Процессор Intel Xeon E5645 OEM,5399,https://sbermegamarket.ru/catalog/details/processor-intel-xeon-e5645-at80614003597ac-100024702511/
Процессор Intel Xeon E5-2609,7126,https://sbermegamarket.ru/catalog/details/processor-intel-xeon-e5-2609-cm8062107186604-100024702488/
Детские смарт-часы Кнопка Жизни Aimoto Sport Orange/Orange,550,https://sbermegamarket.ru/catalog/details/smart-chasy-knopka-zhizni-aimoto-sport-100023590477/
Колонки JBL CSS8018 White,3720,https://sbermegamarket.ru/catalog/details/vstraivaemaya-akustika-jbl-css8018-100023769069/
Акустическая система Dialog AC-202UP Черный,720,https://sbermegamarket.ru/catalog/details/akusticheskaya-sistema-dialog-ac-202up-chernyy-100000570134/
Колонки Smartbuy SBA-2560,890,https://sbermegamarket.ru/catalog/details/kolonki-smartbuy-sba-2560-100023589987/
Струйное МФУ HP DeskJet 2320,2190,https://sbermegamarket.ru/catalog/details/struynoe-mfu-hp-deskjet-2320-white-100027328400/
Струйное МФУ HP DeskJet 2620,2390,https://sbermegamarket.ru/catalog/details/struynoe-mfu-hp-deskjet-2620-v1n01c-100023003117/
Этикет-пистолет STAFF 290830,921,https://sbermegamarket.ru/catalog/details/etiket-pistolet-staff-290830-600003467138/
Этикет-пистолет BRAUBERG 290436,1584,https://sbermegamarket.ru/catalog/details/etiket-pistolet-brauberg-290436-600003467134/
Механический принтер Omega 9 мм,1599,https://sbermegamarket.ru/catalog/details/mehanicheskiy-printer-omega-9-mm-100025412315/
Принтер этикеток DYMO Omega (S0717930),1690,https://sbermegamarket.ru/catalog/details/printer-etiketok-dymo-omega-s0717930-600003413722/
Планшет Irbis TZ725 Black,3290,https://sbermegamarket.ru/catalog/details/planshetnyy-kompyuter-irbis-tz725-7-ips-4x12-ggc-1-gb-8-gb-2500-mach-cvet-chernyy-100025431608/
Фотоаппарат цифровой компактный Rekam iLook S959i Black,1495,https://sbermegamarket.ru/catalog/details/cf-rekam-ilook-s959i-bl-100002527671/
Фотоаппарат цифровой компактный Rekam iLook S755i Metallic Gray,2490,https://sbermegamarket.ru/catalog/details/fotoapparat-cifrovoy-kompaktnyy-rekam-ilook-s755i-metallic-gray-100000010272/
Объектив для фотоаппарата Hikvision TV2810D-MPIR,1430,https://sbermegamarket.ru/catalog/details/hikvision-obuektiv-hikvision-tv2810d-mpir-100000575623/
Мини HD камера SQ11,990,https://sbermegamarket.ru/catalog/details/mini-hd-kamera-sq11-600000454073/
Видеокамера экшн Y2000,990,https://sbermegamarket.ru/catalog/details/videokamera-ekshn-y2000-600003278107/
